table_name,column_name,data_type,constraints,description,fhir_resource,fhir_field,category,contains_phi,relationships,enum_values,search_text
CONDITION,laterality,VARCHAR,NULLABLE,Laterality of the condition,Condition,bodySite.extension,CLINICAL,N,,"LEFT|RIGHT|BILATERAL|UNKNOWN","CONDITION laterality LEFT RIGHT BILATERAL UNKNOWN"
CONDITION,recorded_date,DATE,NULLABLE,Date the condition was recorded in the system,Condition,recordedDate,CLINICAL,N,,,"CONDITION recorded_date date condition recorded system nullable"
CONDITION,source,VARCHAR,NOT NULL,Source provenance - EHR structured data or GenAI NLP extraction,Condition,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","CONDITION source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
CONDITION,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to the source note document,Condition,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"CONDITION provenance_document_id FK NOTE_DOCUMENT source note provenance"
CONDITION,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this condition was negated in the note (e.g. no diabetes or denies chest pain),Condition,extension,CLINICAL,N,,,"CONDITION is_negated negation negated denied no absent ruled out"
CONDITION,temporality,VARCHAR,NULLABLE,Temporal context of the condition mention,Condition,extension,CLINICAL,N,,"CURRENT|HISTORICAL|FUTURE","CONDITION temporality current historical future temporal context"
CONDITION,certainty,VARCHAR,NULLABLE,Certainty of the condition diagnosis,Condition,extension,CLINICAL,N,,"CONFIRMED|PROBABLE|POSSIBLE|UNLIKELY|RULED_OUT","CONDITION certainty confirmed probable possible unlikely ruled_out diagnosis"
CONDITION,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,Condition,extension,CLINICAL,N,,,"CONDITION evidence_text citation text quote source note extraction condition diagnosis"
CONDITION,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),Condition,extension,CLINICAL,N,,,"CONDITION extraction_confidence confidence score NLP engine probability"
OBSERVATION,observation_id,VARCHAR,PK NOT NULL,Unique identifier for an observation,Observation,id,CLINICAL,N,,,"OBSERVATION observation_id PK unique identifier observation lab vital"
OBSERVATION,patient_id,VARCHAR,NOT NULL,Patient identifier,Observation,subject,CLINICAL,Y,,,"OBSERVATION patient_id patient identifier PHI"
OBSERVATION,encounter_id,VARCHAR,NULLABLE,Encounter identifier,Observation,encounter,CLINICAL,N,,,"OBSERVATION encounter_id encounter identifier nullable"
OBSERVATION,code,VARCHAR,NULLABLE,Terminology code for the observation,Observation,code.coding.code,CLINICAL,N,,,"OBSERVATION code terminology code LOINC SNOMED observation"
OBSERVATION,code_system,VARCHAR,NULLABLE,Code system (e.g. LOINC SNOMED_CT custom),Observation,code.coding.system,CLINICAL,N,,"LOINC|SNOMED_CT|custom","OBSERVATION code_system LOINC SNOMED_CT custom"
OBSERVATION,display,VARCHAR,NOT NULL,Human-readable label for the observation,Observation,code.coding.display,CLINICAL,N,,,"OBSERVATION display human-readable label observation"
OBSERVATION,category,VARCHAR,NULLABLE,Category of observation,Observation,category,CLINICAL,N,,"VITAL_SIGNS|LAB|IMAGING|EXAM|SCORE|SOCIAL_HISTORY|OTHER","OBSERVATION category VITAL_SIGNS LAB IMAGING EXAM SCORE SOCIAL_HISTORY OTHER"
OBSERVATION,status,VARCHAR,NULLABLE,Status of the observation,Observation,status,CLINICAL,N,,"REGISTERED|PRELIMINARY|FINAL|AMENDED|CANCELLED","OBSERVATION status REGISTERED PRELIMINARY FINAL AMENDED CANCELLED"
OBSERVATION,effective_datetime,TIMESTAMP_NTZ,NULLABLE,When the observation was made,Observation,effectiveDateTime,CLINICAL,N,,,"OBSERVATION effective_datetime when observation was made timestamp"
OBSERVATION,value_quantity,NUMBER,NULLABLE,Numeric value of the observation,Observation,valueQuantity.value,CLINICAL,N,,,"OBSERVATION value_quantity numeric value observation measurement"
OBSERVATION,value_unit,VARCHAR,NULLABLE,Unit of the numeric value,Observation,valueQuantity.unit,CLINICAL,N,,,"OBSERVATION value_unit unit numeric value measurement"
OBSERVATION,value_code,VARCHAR,NULLABLE,Coded value of the observation,Observation,valueCodeableConcept.coding.code,CLINICAL,N,,,"OBSERVATION value_code coded value observation"
OBSERVATION,value_code_system,VARCHAR,NULLABLE,Code system for coded value,Observation,valueCodeableConcept.coding.system,CLINICAL,N,,,"OBSERVATION value_code_system code system coded value"
OBSERVATION,value_display,VARCHAR,NULLABLE,Display text for coded value,Observation,valueCodeableConcept.coding.display,CLINICAL,N,,,"OBSERVATION value_display display text coded value"
OBSERVATION,value_string,VARCHAR,NULLABLE,Free-text value string,Observation,valueString,CLINICAL,N,,,"OBSERVATION value_string free-text value string"
OBSERVATION,interpretation,VARCHAR,NULLABLE,Interpretation of the observation result,Observation,interpretation,CLINICAL,N,,"HIGH|LOW|ABNORMAL|NORMAL|CRITICAL_HIGH|CRITICAL_LOW","OBSERVATION interpretation HIGH LOW ABNORMAL NORMAL CRITICAL_HIGH CRITICAL_LOW"
OBSERVATION,body_site_code,VARCHAR,NULLABLE,Anatomical site code,Observation,bodySite.coding.code,CLINICAL,N,,,"OBSERVATION body_site_code anatomical site code nullable"
OBSERVATION,body_site_display,VARCHAR,NULLABLE,Anatomical site display name,Observation,bodySite.coding.display,CLINICAL,N,,,"OBSERVATION body_site_display anatomical site display name"
OBSERVATION,laterality,VARCHAR,NULLABLE,Laterality of the observation,Observation,bodySite.extension,CLINICAL,N,,"LEFT|RIGHT|BILATERAL|UNKNOWN","OBSERVATION laterality LEFT RIGHT BILATERAL UNKNOWN"
OBSERVATION,method,VARCHAR,NULLABLE,Method used to make the observation,Observation,method,CLINICAL,N,,,"OBSERVATION method method used make observation nullable"
OBSERVATION,source,VARCHAR,NOT NULL,Source provenance,Observation,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","OBSERVATION source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
OBSERVATION,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,Observation,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"OBSERVATION provenance_document_id FK NOTE_DOCUMENT source provenance"
OBSERVATION,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this observation was negated in the note (e.g. no murmur or lungs clear),Observation,extension,CLINICAL,N,,,"OBSERVATION is_negated negation negated denied absent normal clear"
OBSERVATION,temporality,VARCHAR,NULLABLE,Temporal context of the observation,Observation,extension,CLINICAL,N,,"CURRENT|HISTORICAL","OBSERVATION temporality current historical temporal context"
OBSERVATION,certainty,VARCHAR,NULLABLE,Certainty of the observation finding,Observation,extension,CLINICAL,N,,"CONFIRMED|PROBABLE|POSSIBLE|UNLIKELY","OBSERVATION certainty confirmed probable possible unlikely finding"
OBSERVATION,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,Observation,extension,CLINICAL,N,,,"OBSERVATION evidence_text citation text quote source note extraction lab vital exam"
OBSERVATION,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),Observation,extension,CLINICAL,N,,,"OBSERVATION extraction_confidence confidence score NLP engine probability"
PROCEDURE,procedure_id,VARCHAR,PK NOT NULL,Unique identifier for a procedure,Procedure,id,CLINICAL,N,,,"PROCEDURE procedure_id PK unique identifier procedure surgical diagnostic"
PROCEDURE,patient_id,VARCHAR,NOT NULL,Patient identifier,Procedure,subject,CLINICAL,Y,,,"PROCEDURE patient_id patient identifier PHI"
PROCEDURE,encounter_id,VARCHAR,NOT NULL,Encounter identifier,Procedure,encounter,CLINICAL,N,,,"PROCEDURE encounter_id encounter identifier"
PROCEDURE,code,VARCHAR,NULLABLE,Terminology code for the procedure,Procedure,code.coding.code,CLINICAL,N,,,"PROCEDURE code terminology code SNOMED CPT ICD10PCS procedure"
PROCEDURE,code_system,VARCHAR,NULLABLE,Code system for the procedure code,Procedure,code.coding.system,CLINICAL,N,,"SNOMED_CT|CPT|ICD10PCS|local","PROCEDURE code_system SNOMED_CT CPT ICD10PCS local"
PROCEDURE,display,VARCHAR,NOT NULL,Human-readable label for the procedure,Procedure,code.coding.display,CLINICAL,N,,,"PROCEDURE display human-readable label procedure"
PROCEDURE,status,VARCHAR,NULLABLE,Current status of the procedure,Procedure,status,CLINICAL,N,,"PREPARATION|IN_PROGRESS|COMPLETED|NOT_DONE|STOPPED|UNKNOWN","PROCEDURE status PREPARATION IN_PROGRESS COMPLETED NOT_DONE STOPPED UNKNOWN"
PROCEDURE,category,VARCHAR,NULLABLE,Category of the procedure,Procedure,category,CLINICAL,N,,"SURGICAL|DIAGNOSTIC|IMAGING|THERAPEUTIC|OTHER","PROCEDURE category SURGICAL DIAGNOSTIC IMAGING THERAPEUTIC OTHER"
PROCEDURE,performed_start,TIMESTAMP_NTZ,NULLABLE,Start datetime of the procedure,Procedure,performedPeriod.start,CLINICAL,N,,,"PROCEDURE performed_start start datetime procedure nullable"
PROCEDURE,performed_end,TIMESTAMP_NTZ,NULLABLE,End datetime of the procedure,Procedure,performedPeriod.end,CLINICAL,N,,,"PROCEDURE performed_end end datetime procedure nullable"
PROCEDURE,reason_condition_id,VARCHAR,NULLABLE FK,Condition that was the reason for the procedure,Procedure,reasonReference,CLINICAL,N,FK->CONDITION.condition_id,,"PROCEDURE reason_condition_id FK CONDITION reason procedure indication"
PROCEDURE,body_site_code,VARCHAR,NULLABLE,Anatomical site code,Procedure,bodySite.coding.code,CLINICAL,N,,,"PROCEDURE body_site_code anatomical site code nullable"
PROCEDURE,body_site_display,VARCHAR,NULLABLE,Anatomical site display name,Procedure,bodySite.coding.display,CLINICAL,N,,,"PROCEDURE body_site_display anatomical site display name"
PROCEDURE,laterality,VARCHAR,NULLABLE,Laterality of the procedure,Procedure,bodySite.extension,CLINICAL,N,,"LEFT|RIGHT|BILATERAL|UNKNOWN","PROCEDURE laterality LEFT RIGHT BILATERAL UNKNOWN"
PROCEDURE,source,VARCHAR,NOT NULL,Source provenance,Procedure,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","PROCEDURE source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
PROCEDURE,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,Procedure,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"PROCEDURE provenance_document_id FK NOTE_DOCUMENT source provenance"
PROCEDURE,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this procedure was negated in the note (e.g. patient declined or not performed),Procedure,extension,CLINICAL,N,,,"PROCEDURE is_negated negation negated declined not performed refused"
PROCEDURE,temporality,VARCHAR,NULLABLE,Temporal context of the procedure mention,Procedure,extension,CLINICAL,N,,"CURRENT|HISTORICAL|FUTURE","PROCEDURE temporality current historical future temporal context planned completed"
PROCEDURE,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,Procedure,extension,CLINICAL,N,,,"PROCEDURE evidence_text citation text quote source note extraction procedure"
PROCEDURE,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),Procedure,extension,CLINICAL,N,,,"PROCEDURE extraction_confidence confidence score NLP engine probability"
MEDICATION_REQUEST,medication_request_id,VARCHAR,PK NOT NULL,Unique identifier for a medication order or prescription,MedicationRequest,id,CLINICAL,N,,,"MEDICATION_REQUEST medication_request_id PK unique identifier medication order prescription"
MEDICATION_REQUEST,patient_id,VARCHAR,NOT NULL,Patient identifier,MedicationRequest,subject,CLINICAL,Y,,,"MEDICATION_REQUEST patient_id patient identifier PHI"
MEDICATION_REQUEST,encounter_id,VARCHAR,NULLABLE,Encounter identifier,MedicationRequest,encounter,CLINICAL,N,,,"MEDICATION_REQUEST encounter_id encounter identifier nullable"
MEDICATION_REQUEST,medication_code,VARCHAR,NULLABLE,Terminology code for the medication,MedicationRequest,medicationCodeableConcept.coding.code,CLINICAL,N,,,"MEDICATION_REQUEST medication_code terminology code RxNorm SNOMED medication drug"
MEDICATION_REQUEST,medication_system,VARCHAR,NULLABLE,Code system for the medication code,MedicationRequest,medicationCodeableConcept.coding.system,CLINICAL,N,,"RXNORM|SNOMED_CT|local","MEDICATION_REQUEST medication_system RXNORM SNOMED_CT local code system"
MEDICATION_REQUEST,medication_display,VARCHAR,NOT NULL,Human-readable medication name,MedicationRequest,medicationCodeableConcept.coding.display,CLINICAL,N,,,"MEDICATION_REQUEST medication_display human-readable medication name drug"
MEDICATION_REQUEST,status,VARCHAR,NULLABLE,Status of the medication request,MedicationRequest,status,CLINICAL,N,,"ACTIVE|COMPLETED|STOPPED|CANCELLED|DRAFT|UNKNOWN","MEDICATION_REQUEST status ACTIVE COMPLETED STOPPED CANCELLED DRAFT UNKNOWN"
MEDICATION_REQUEST,intent,VARCHAR,NULLABLE,Intent of the medication request,MedicationRequest,intent,CLINICAL,N,,"ORDER|PLAN|PROPOSAL","MEDICATION_REQUEST intent ORDER PLAN PROPOSAL"
MEDICATION_REQUEST,dosage_text,VARCHAR,NULLABLE,Free-text sig dosage instructions,MedicationRequest,dosageInstruction.text,CLINICAL,N,,,"MEDICATION_REQUEST dosage_text free-text sig dosage instructions"
MEDICATION_REQUEST,dose,NUMBER,NULLABLE,Numeric dose amount,MedicationRequest,dosageInstruction.doseAndRate.doseQuantity.value,CLINICAL,N,,,"MEDICATION_REQUEST dose numeric dose amount quantity"
MEDICATION_REQUEST,dose_unit,VARCHAR,NULLABLE,Unit of the dose,MedicationRequest,dosageInstruction.doseAndRate.doseQuantity.unit,CLINICAL,N,,,"MEDICATION_REQUEST dose_unit unit dose mg ml tablet"
MEDICATION_REQUEST,route_code,VARCHAR,NULLABLE,Route of administration code,MedicationRequest,dosageInstruction.route.coding.code,CLINICAL,N,,,"MEDICATION_REQUEST route_code route administration code oral IV"
MEDICATION_REQUEST,route_display,VARCHAR,NULLABLE,Route of administration display,MedicationRequest,dosageInstruction.route.coding.display,CLINICAL,N,,,"MEDICATION_REQUEST route_display route administration display oral intravenous"
MEDICATION_REQUEST,frequency_text,VARCHAR,NULLABLE,Free-text frequency description,MedicationRequest,dosageInstruction.timing.code.text,CLINICAL,N,,,"MEDICATION_REQUEST frequency_text free-text frequency BID q6h PRN"
MEDICATION_REQUEST,frequency_norm,VARCHAR,NULLABLE,Normalized frequency representation,MedicationRequest,dosageInstruction.timing,CLINICAL,N,,,"MEDICATION_REQUEST frequency_norm normalized frequency representation"
MEDICATION_REQUEST,duration_value,NUMBER,NULLABLE,Duration numeric value,MedicationRequest,dosageInstruction.timing.repeat.boundsDuration.value,CLINICAL,N,,,"MEDICATION_REQUEST duration_value duration numeric value"
MEDICATION_REQUEST,duration_unit,VARCHAR,NULLABLE,Duration unit,MedicationRequest,dosageInstruction.timing.repeat.boundsDuration.unit,CLINICAL,N,,"DAYS|WEEKS|MONTHS","MEDICATION_REQUEST duration_unit DAYS WEEKS MONTHS"
MEDICATION_REQUEST,authored_on,TIMESTAMP_NTZ,NULLABLE,Date the prescription was authored,MedicationRequest,authoredOn,CLINICAL,N,,,"MEDICATION_REQUEST authored_on date prescription authored timestamp"
MEDICATION_REQUEST,requester,VARCHAR,NULLABLE,Prescriber or requester of the medication,MedicationRequest,requester,CLINICAL,Y,,,"MEDICATION_REQUEST requester prescriber requester medication PHI"
MEDICATION_REQUEST,indication_condition_id,VARCHAR,NULLABLE FK,Condition that is the indication for the medication,MedicationRequest,reasonReference,CLINICAL,N,FK->CONDITION.condition_id,,"MEDICATION_REQUEST indication_condition_id FK CONDITION indication reason"
MEDICATION_REQUEST,source,VARCHAR,NOT NULL,Source provenance,MedicationRequest,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","MEDICATION_REQUEST source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
MEDICATION_REQUEST,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,MedicationRequest,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"MEDICATION_REQUEST provenance_document_id FK NOTE_DOCUMENT source provenance"
MEDICATION_REQUEST,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this medication was negated in the note (e.g. patient not taking or discontinued),MedicationRequest,extension,CLINICAL,N,,,"MEDICATION_REQUEST is_negated negation negated not taking discontinued denied"
MEDICATION_REQUEST,temporality,VARCHAR,NULLABLE,Temporal context of the medication mention,MedicationRequest,extension,CLINICAL,N,,"CURRENT|HISTORICAL|FUTURE","MEDICATION_REQUEST temporality current historical future temporal context"
MEDICATION_REQUEST,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,MedicationRequest,extension,CLINICAL,N,,,"MEDICATION_REQUEST evidence_text citation text quote source note extraction medication"
MEDICATION_REQUEST,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),MedicationRequest,extension,CLINICAL,N,,,"MEDICATION_REQUEST extraction_confidence confidence score NLP engine probability"
ALLERGY_INTOLERANCE,allergy_id,VARCHAR,PK NOT NULL,Unique identifier for an allergy or intolerance,AllergyIntolerance,id,CLINICAL,N,,,"ALLERGY_INTOLERANCE allergy_id PK unique identifier allergy intolerance"
ALLERGY_INTOLERANCE,patient_id,VARCHAR,NOT NULL,Patient identifier,AllergyIntolerance,patient,CLINICAL,Y,,,"ALLERGY_INTOLERANCE patient_id patient identifier PHI"
ALLERGY_INTOLERANCE,substance_code,VARCHAR,NULLABLE,Terminology code for the allergen substance,AllergyIntolerance,code.coding.code,CLINICAL,N,,,"ALLERGY_INTOLERANCE substance_code terminology code allergen substance RxNorm SNOMED"
ALLERGY_INTOLERANCE,substance_system,VARCHAR,NULLABLE,Code system for the allergen,AllergyIntolerance,code.coding.system,CLINICAL,N,,"RXNORM|SNOMED_CT","ALLERGY_INTOLERANCE substance_system RXNORM SNOMED_CT code system"
ALLERGY_INTOLERANCE,substance_display,VARCHAR,NOT NULL,Human-readable allergen name,AllergyIntolerance,code.coding.display,CLINICAL,N,,,"ALLERGY_INTOLERANCE substance_display human-readable allergen name"
ALLERGY_INTOLERANCE,reaction_code,VARCHAR,NULLABLE,Code for the reaction manifestation,AllergyIntolerance,reaction.manifestation.coding.code,CLINICAL,N,,,"ALLERGY_INTOLERANCE reaction_code code reaction manifestation"
ALLERGY_INTOLERANCE,reaction_display,VARCHAR,NULLABLE,Display text for the reaction,AllergyIntolerance,reaction.manifestation.coding.display,CLINICAL,N,,,"ALLERGY_INTOLERANCE reaction_display display text reaction rash anaphylaxis"
ALLERGY_INTOLERANCE,severity,VARCHAR,NULLABLE,Severity of the allergy reaction,AllergyIntolerance,reaction.severity,CLINICAL,N,,"MILD|MODERATE|SEVERE|LIFE_THREATENING|UNKNOWN","ALLERGY_INTOLERANCE severity MILD MODERATE SEVERE LIFE_THREATENING UNKNOWN"
ALLERGY_INTOLERANCE,criticality,VARCHAR,NULLABLE,Criticality risk level,AllergyIntolerance,criticality,CLINICAL,N,,"LOW|HIGH|UNABLE_TO_ASSESS|UNKNOWN","ALLERGY_INTOLERANCE criticality LOW HIGH UNABLE_TO_ASSESS UNKNOWN"
ALLERGY_INTOLERANCE,verification_status,VARCHAR,NULLABLE,Verification status of the allergy,AllergyIntolerance,verificationStatus,CLINICAL,N,,"UNCONFIRMED|CONFIRMED|REFUTED|ENTERED_IN_ERROR","ALLERGY_INTOLERANCE verification_status UNCONFIRMED CONFIRMED REFUTED ENTERED_IN_ERROR"
ALLERGY_INTOLERANCE,onset_datetime,TIMESTAMP_NTZ,NULLABLE,When the allergy was first noted,AllergyIntolerance,onsetDateTime,CLINICAL,N,,,"ALLERGY_INTOLERANCE onset_datetime when allergy first noted nullable"
ALLERGY_INTOLERANCE,source,VARCHAR,NOT NULL,Source provenance,AllergyIntolerance,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","ALLERGY_INTOLERANCE source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
ALLERGY_INTOLERANCE,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,AllergyIntolerance,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"ALLERGY_INTOLERANCE provenance_document_id FK NOTE_DOCUMENT source provenance"
ALLERGY_INTOLERANCE,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this allergy was negated in the note (e.g. NKDA or denies allergies),AllergyIntolerance,extension,CLINICAL,N,,,"ALLERGY_INTOLERANCE is_negated negation negated denied NKDA no known drug allergies"
ALLERGY_INTOLERANCE,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,AllergyIntolerance,extension,CLINICAL,N,,,"ALLERGY_INTOLERANCE evidence_text citation text quote source note extraction allergy"
ALLERGY_INTOLERANCE,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),AllergyIntolerance,extension,CLINICAL,N,,,"ALLERGY_INTOLERANCE extraction_confidence confidence score NLP engine probability"
ADVERSE_EVENT,adverse_event_id,VARCHAR,PK NOT NULL,Unique identifier for an adverse event,AdverseEvent,id,CLINICAL,N,,,"ADVERSE_EVENT adverse_event_id PK unique identifier adverse event"
ADVERSE_EVENT,patient_id,VARCHAR,NOT NULL,Patient identifier,AdverseEvent,subject,CLINICAL,Y,,,"ADVERSE_EVENT patient_id patient identifier PHI"
